iter	Passed	Remaining
0	5	10020
1	9	9256
2	13	9245
3	17	8878
4	22	9073
5	27	9056
6	32	9180
7	37	9231
8	41	9210
9	46	9313
10	51	9332
11	56	9359
12	61	9380
13	65	9335
14	70	9264
15	76	9430
16	81	9519
17	85	9462
18	90	9474
19	95	9486
20	100	9510
21	106	9553
22	110	9517
23	116	9565
24	120	9507
25	125	9523
26	129	9476
27	134	9469
28	139	9478
29	143	9444
30	148	9454
31	154	9476
32	158	9453
33	163	9451
34	167	9426
35	172	9417
36	177	9396
37	183	9468
38	187	9443
39	193	9472
40	199	9522
41	204	9555
42	212	9650
43	217	9658
44	222	9674
45	227	9661
46	231	9625
47	238	9706
48	243	9707
49	248	9687
50	252	9666
51	257	9655
52	261	9615
53	266	9610
54	271	9594
55	276	9599
56	281	9603
57	287	9624
58	291	9594
59	296	9578
60	302	9608
61	306	9579
62	311	9562
63	315	9557
64	321	9557
65	325	9525
66	330	9528
67	335	9530
68	339	9514
69	345	9530
70	350	9536
71	355	9531
72	361	9541
73	367	9554
74	370	9518
75	376	9520
76	382	9540
77	386	9535
78	393	9562
79	399	9584
80	404	9585
81	409	9589
82	415	9601
83	422	9641
84	428	9657
85	434	9661
86	439	9667
87	442	9611
88	447	9617
89	452	9604
90	459	9629
91	463	9608
92	468	9610
93	474	9614
94	477	9584
95	483	9584
96	488	9574
97	493	9570
98	497	9557
99	502	9555
100	508	9563
101	513	9552
102	518	9552
103	524	9559
104	528	9545
105	534	9546
106	538	9531
107	543	9524
108	548	9518
109	550	9461
110	555	9446
111	559	9428
112	562	9401
113	566	9371
114	571	9364
115	575	9349
116	580	9342
117	584	9315
118	587	9293
119	592	9285
120	596	9265
121	602	9274
122	606	9259
123	611	9257
124	616	9248
125	620	9229
126	625	9228
127	630	9220
128	632	9178
129	637	9166
130	641	9156
131	646	9154
132	651	9147
133	656	9145
134	661	9145
135	667	9153
136	673	9155
137	679	9166
138	683	9157
139	688	9151
140	693	9146
141	699	9147
142	705	9163
143	712	9180
144	718	9186
145	723	9188
146	726	9162
147	732	9169
148	738	9169
149	745	9192
150	749	9181
151	755	9190
152	761	9193
153	766	9184
154	772	9192
155	776	9177
156	780	9164
157	786	9164
158	790	9158
159	795	9150
160	800	9145
161	806	9149
162	812	9155
163	817	9151
164	821	9140
165	827	9142
166	832	9139
167	838	9140
168	843	9139
169	849	9146
170	854	9144
171	861	9155
172	866	9153
173	872	9159
174	877	9156
175	882	9146
176	887	9138
177	892	9131
178	894	9097
179	899	9095
180	903	9078
181	907	9066
182	912	9062
183	917	9055
184	921	9045
185	927	9045
186	932	9037
187	937	9033
188	942	9030
189	947	9021
190	952	9021
191	956	9010
192	962	9010
193	968	9012
194	973	9011
195	979	9012
196	985	9015
197	991	9022
198	996	9015
199	1001	9010
200	1006	9008
201	1011	9007
202	1017	9009
203	1023	9007
204	1028	9007
205	1034	9010
206	1041	9018
207	1046	9019
208	1053	9029
209	1056	9008
210	1064	9022
211	1074	9060
212	1080	9063
213	1088	9083
214	1095	9094
215	1102	9104
216	1109	9114
217	1115	9120
218	1123	9137
219	1128	9133
220	1136	9149
221	1143	9160
222	1151	9175
223	1158	9184
224	1166	9199
225	1173	9209
226	1178	9206
227	1185	9215
228	1191	9215
229	1198	9226
230	1204	9227
231	1210	9227
232	1217	9230
233	1222	9229
234	1228	9230
235	1236	9243
236	1243	9246
237	1248	9245
238	1255	9252
239	1261	9252
240	1268	9255
241	1273	9250
242	1279	9248
243	1285	9252
244	1292	9257
245	1298	9261
246	1307	9280
247	1315	9292
248	1321	9294
249	1329	9308
250	1335	9307
251	1341	9306
252	1348	9308
253	1353	9307
254	1361	9319
255	1367	9318
256	1373	9314
257	1378	9310
258	1385	9312
259	1391	9312
260	1397	9312
261	1403	9312
262	1409	9308
263	1414	9301
264	1421	9305
265	1426	9299
266	1432	9296
267	1439	9303
268	1446	9306
269	1453	9312
270	1460	9320
271	1467	9325
272	1476	9343
273	1485	9355
274	1493	9368
275	1501	9376
276	1506	9371
277	1513	9374
278	1518	9367
279	1525	9371
280	1531	9367
281	1536	9360
282	1543	9365
283	1550	9370
284	1556	9367
285	1562	9364
286	1568	9359
287	1574	9361
288	1580	9357
289	1586	9353
290	1591	9347
