feature,importance
Qual_x_TotalSF,15.750784332150435
TotalSF,13.610736648523723
Qual_x_GrLiv,8.601779739952088
OverallQual,5.530539311458407
OverallCond,3.295653636673827
LotArea,2.9914940927389364
MSZoning,2.86744162310397
GrLivArea,2.3365399780849154
YearRemodAdd,2.2012716347380685
TotalBaths,2.192858902378848
CentralAir,1.8646593769499578
Neighborhood,1.6661998713433321
FireplaceQu_Ord,1.6644602048983976
GarageFinish,1.6591164706862302
Age,1.4401098972437645
LotFrontage,1.3877049138042512
SaleCondition,1.2518785285505016
GarageYrBlt,1.2491463361961788
TotalBsmtSF,1.19825729206919
GarageArea,1.1810545167472986
RemodAge,1.1306946537833487
ExterQual,1.122987516957559
BsmtFinSF1,1.0527992467013014
1stFlrSF,1.0387511726891043
Fireplaces,1.0239166149583805
YearBuilt,0.9996278262537158
HasFireplace,0.9571302744901689
BsmtFinType1_Ord,0.8970576642583972
GarageCars,0.8672315995066843
SinceGarage,0.7595115646932712
KitchenQual_Ord,0.749704590970205
BsmtUnfSF,0.7269004189992475
TotalPorchSF,0.684122673234438
GarageQual_Ord,0.6806822777848557
GarageQual,0.678458044361422
Condition1,0.6161288402269355
BsmtQual,0.5815148293429057
Functional,0.5113590138720177
BsmtFullBath,0.5084063323318183
2ndFlrSF,0.4894543949355071
ExterQual_Ord,0.46502684940285544
GrLivAreaRatio,0.4420444496153136
KitchenQual,0.43648212031533823
BsmtExposure,0.4347445987800407
WoodDeckSF,0.4281024446381828
BsmtExposure_Ord,0.4032008496144796
MoSold_cos,0.400522173448128
Id,0.4001031085571868
YrSold,0.39299434888337037
BsmtQual_Ord,0.32710656938226834
PavedDrive,0.25864218457996335
LotShape,0.24992236720899846
TotRmsAbvGrd,0.20494276911236262
Exterior1st,0.20405505537757695
BathsPerRoom,0.20293327356257673
MSSubClass,0.1896957651685221
MoSold,0.18623044308808007
OpenPorchSF,0.18553876642619294
ExterCond,0.182477536899328
ScreenPorch,0.1797805814416975
MasVnrType,0.17891265935431733
LandSlope,0.16710192113807815
BsmtCond_Ord,0.16688335680659408
Alley,0.16515833084275947
FireplaceQu,0.16457189502299752
GarageCond,0.15905599046670776
MasVnrArea,0.15283966112484443
RoofStyle,0.1508583749249289
HouseStyle,0.14645289794497368
HalfBath,0.14142586461905104
KitchenAbvGr,0.1284318419872891
GarageCond_Ord,0.12464025183143945
EnclosedPorch,0.1204265817090425
GarageType,0.11959168819564976
HeatingQC_Ord,0.11009905472474861
LandContour,0.10340233324636271
Foundation,0.10148842907105746
LotShape_Ord,0.10122617245386002
BsmtFinType1,0.09357492927818968
BsmtFinType2_Ord,0.08772017854579287
BsmtFinType2,0.08448193907337996
Exterior2nd,0.08200660372063344
Electrical,0.08118831799695693
BedroomAbvGr,0.0797118770515679
ExterCond_Ord,0.07784379868247122
Fence,0.07470115287893898
BsmtFinSF2,0.0718573383918418
HeatingQC,0.06884050191463129
LotConfig,0.05962974319338154
SaleType,0.05756343322929117
BldgType,0.05266093971483413
Has2ndFlr,0.04233578717879683
RoofMatl,0.034265880275745834
BsmtCond,0.030656615897649356
LowQualFinSF,0.02987455529708415
PoolQC,0.02956325093309571
HasPool,0.02855950360325065
BsmtHalfBath,0.02770458524007986
FullBath,0.024386109453488982
Condition2,0.02288019590661496
PoolArea,0.017207212958384868
MoSold_sin,0.01677412910140782
Heating,0.009518156239008342
Street,0.007626726774772568
MiscFeature,0.006430719334046236
PoolQC_Ord,0.0017147965238332504
3SsnPorch,0.0017085124230747039
IsRemodeled,0.0009453430089679819
Utilities,0.0005431500409148783
MiscVal,0.0002835965271152041
HasGarage,0.0
HasBsmt,0.0
