feature_1,feature_2,interaction_score
GrLivArea_to_TotalSF,MSSubClass,90.0
BathsPerRoom,MSSubClass,90.0
BathsPerRoom,MSSubClass,89.0
RemodAge,MSSubClass,89.0
GrLivArea_to_TotalSF,MSSubClass,89.0
RemodAge,MSSubClass,88.0
Age,MSSubClass,88.0
BathsPerRoom,MSSubClass,88.0
GrLivArea_to_TotalSF,MSSubClass,88.0
TotalSF,MSSubClass,87.0
RemodAge,MSSubClass,87.0
Age,MSSubClass,87.0
TotalSF,MSSubClass,86.0
RemodAge,MSSubClass,86.0
GarageCond_ord,MSSubClass,85.0
TotalSF,MSSubClass,85.0
GrLivArea_to_TotalSF,MSSubClass,85.0
TotalSF,MSSubClass,84.0
FireplaceQu_ord,MSSubClass,84.0
BathsPerRoom,MSSubClass,84.0
TotalSF,MSSubClass,83.0
TotalSF,MSSubClass,81.0
FireplaceQu_ord,MSSubClass,81.0
RemodAge,MSSubClass,81.0
GarageQual_ord,MSSubClass,81.0
BathsPerRoom,MSSubClass,80.0
FireplaceQu_ord,MSSubClass,79.0
GarageQual_ord,MSSubClass,79.0
BathsPerRoom,MSSubClass,79.0
TotalSF,MSSubClass,79.0
HeatingQC_ord,MSSubClass,78.0
BsmtCond_ord,MSSubClass,78.0
TotalSF,MSSubClass,78.0
BsmtQual_ord,MSSubClass,78.0
RemodAge,MSSubClass,78.0
BathsPerRoom,MSSubClass,78.0
GrLivArea_to_TotalSF,MSSubClass,78.0
GarageCond_ord,MSSubClass,78.0
Age,MSSubClass,78.0
ExterQual_ord,MSSubClass,78.0
GrLivArea_to_TotalSF,MSSubClass,77.0
RemodAge,MSSubClass,77.0
TotalSF,MSSubClass,77.0
Age,MSSubClass,77.0
SaleCondition,MSSubClass,77.0
GrLivArea_to_TotalSF,MSSubClass,76.0
KitchenQual_ord,MSSubClass,76.0
RemodAge,MSSubClass,76.0
SaleCondition,MSSubClass,76.0
TotalSF,MSSubClass,76.0
HeatingQC_ord,MSSubClass,76.0
BathsPerRoom,MSSubClass,75.0
Age,MSSubClass,75.0
YrSold,MSSubClass,75.0
BsmtCond_ord,MSSubClass,75.0
GrLivArea_to_TotalSF,MSSubClass,75.0
SaleType,MSSubClass,75.0
RemodAge,MSSubClass,75.0
TotalSF,MSSubClass,75.0
SaleCondition,MSSubClass,75.0
SaleCondition,MSSubClass,74.0
BathsPerRoom,MSSubClass,74.0
TotalSF,MSSubClass,74.0
MoSold,MSSubClass,73.0
Age,MSSubClass,73.0
RemodAge,MSSubClass,73.0
TotalSF,MSSubClass,73.0
SaleCondition,MSSubClass,73.0
GrLivArea_to_TotalSF,MSSubClass,73.0
BathsPerRoom,MSSubClass,73.0
KitchenQual_ord,MSSubClass,72.0
RemodAge,MSSubClass,72.0
TotalSF,MSSubClass,72.0
SaleCondition,MSSubClass,72.0
Age,MSSubClass,72.0
MiscFeature,MSSubClass,72.0
GarageQual_ord,MSSubClass,72.0
MoSold,MSSubClass,72.0
BathsPerRoom,MSSubClass,72.0
FireplaceQu_ord,MSSubClass,72.0
GarageCond_ord,MSSubClass,72.0
GrLivArea_to_TotalSF,MSSubClass,72.0
Age,MSSubClass,71.0
GarageQual_ord,MSSubClass,71.0
RemodAge,MSSubClass,71.0
BathsPerRoom,MSSubClass,71.0
MiscFeature,MSSubClass,71.0
SaleCondition,MSSubClass,71.0
FireplaceQu_ord,MSSubClass,71.0
TotalSF,MSSubClass,71.0
SaleType,MSSubClass,71.0
MiscVal,MSSubClass,70.0
RemodAge,MSSubClass,70.0
Fence,MSSubClass,70.0
PoolQC,MSSubClass,70.0
BathsPerRoom,MSSubClass,70.0
SaleCondition,MSSubClass,70.0
SaleCondition,MSSubClass,69.0
GarageCond_ord,MSSubClass,69.0
TotalSF,MSSubClass,69.0
RemodAge,MSSubClass,69.0
Age,MSSubClass,69.0
BsmtQual_ord,MSSubClass,69.0
MoSold,MSSubClass,69.0
Fence,MSSubClass,69.0
FireplaceQu_ord,MSSubClass,69.0
GrLivArea_to_TotalSF,MSSubClass,69.0
PoolQC,MSSubClass,69.0
BathsPerRoom,MSSubClass,69.0
PoolArea,MSSubClass,69.0
RemodAge,MSSubClass,68.0
SaleType,MSSubClass,68.0
GrLivArea_to_TotalSF,MSSubClass,68.0
Fence,MSSubClass,68.0
FireplaceQu_ord,MSSubClass,68.0
PoolArea,MSSubClass,68.0
MoSold,MSSubClass,68.0
PoolQC,MSSubClass,68.0
MiscFeature,MSSubClass,68.0
TotalSF,MSSubClass,68.0
ScreenPorch,MSSubClass,68.0
TotalSF,MSSubClass,67.0
MoSold,MSSubClass,67.0
Fence,MSSubClass,67.0
