oof_mean,oof_std,y
207825.55816910978,2988.146350075387,208500
172948.273726865,2803.0818665608385,181500
217603.08655570642,2178.162882060962,223500
178717.30279004035,3653.2004203354254,140000
305516.613744915,5262.652167870946,250000
157035.8512700131,2497.7552559642613,143000
284785.69603937457,6387.167794457074,307000
223806.65026074878,2930.6733477880516,200000
133290.0025088536,3903.3070668953737,129900
130121.57279464926,1454.775177659197,118000
129193.83108056379,512.7942127469015,129500
396352.4221282062,10337.500166614975,345000
131062.40583823013,964.4711095320796,144000
223422.23246243043,3722.374178636788,279500
152620.05232534595,1995.0585673680102,157000
129104.36684756029,2072.002696715027,132000
154376.46723472586,1100.148490934069,149000
107071.36271363117,1646.4123872808511,90000
150969.44802398756,2223.787278323016,159000
116217.75762264043,3506.1679341495424,139000
336665.1562926996,7729.2333102910625,325300
130559.75752350486,1907.4332533570084,139400
237005.68006622218,3004.886037978968,230000
138280.35446433784,1513.2446819442246,129900
151332.1665773173,2359.114722233324,154000
252245.36264512144,4261.998123132788,256300
132724.48945640944,1812.6493462356964,134800
297079.5966770678,4343.84936970166,306000
189727.64993955524,2958.7322820884315,207500
64727.21950017591,2402.1052574965756,68500
82174.2595402484,2373.917311081577,40000
144101.0947926595,1453.9343368934935,149350
188814.9044864068,3581.3256854429424,179900
172483.5233917621,3061.562003546078,165500
288971.3242967792,3874.8520644897535,277500
323022.54200428573,4175.30094458465,309000
147585.29711099228,1322.5249846428865,145000
156571.7281941386,3006.0763092494967,153000
133088.63489963042,1995.098069538669,109000
76136.13037073279,1589.5414074082223,82000
143085.3187831052,1817.582010744862,160000
180768.1829968993,3658.9577063641095,170000
147565.41876110932,2807.716350977121,144000
136892.6539366183,2594.165871529266,130250
139004.7602132727,1809.900352921296,141000
293036.56257216644,5060.260807035356,319900
276827.1488010208,7538.94761518536,239686
235391.3726260458,4286.4039360819415,249700
99697.87425380517,3117.1429552792156,113000
132216.4994539203,1025.5977886166997,127000
169849.9624105008,2888.853352641227,177000
113020.68714396631,1254.9574211008498,114500
101771.24535635383,2507.414396444755,110000
319066.23608816473,10859.272374623824,385000
121541.63942060221,2242.6080217614026,130000
158059.15309981903,1736.0421517497168,180500
205696.04853380006,4950.225286621781,172500
195386.15450585386,1372.7460606260017,196500
358722.13844806823,6527.047250722698,438780
120532.93029253835,2106.4779338945577,124900
165559.00401185732,3695.327344694726,158000
93182.08080024252,2649.591669998119,101000
206432.01145595152,1951.047610189503,202500
144129.1597313334,3953.5509036288904,140000
227588.75357695733,3135.8961548403463,219500
299541.45034993393,6861.185481002121,317000
246320.99225772734,4892.33648955747,180000
220253.86786237854,3918.4522783777984,226000
81882.71981033603,1077.6201070689035,80000
211782.98339490526,5959.486129934194,225000
253817.9722542294,8333.979147835671,244000
123958.1768409929,1347.2796528820136,129500
194679.84916745886,2241.435314653191,185000
144860.73493866978,2057.1474576139676,144900
109701.91180595917,3129.350330948487,107400
93944.79395009456,1899.34609752618,91000
116476.62950514506,1412.518301989883,135750
