iter	RMSE
0	0.4040625829
1	0.4012605019
2	0.398723623
3	0.3961824343
4	0.3937700996
5	0.391171034
6	0.3888481485
7	0.3866155137
8	0.3842537865
9	0.3818779255
10	0.3794873256
11	0.3771772579
12	0.3747497919
13	0.3725389283
14	0.3702007606
15	0.3680542102
16	0.3657954097
17	0.3635292752
18	0.3613033816
19	0.3591745857
20	0.3570538652
21	0.3549746883
22	0.3529159791
23	0.3507176755
24	0.3486585497
25	0.3466066304
26	0.3447580151
27	0.3428039299
28	0.3407975919
29	0.3387954471
30	0.3367166387
31	0.3348300098
32	0.3329842621
33	0.3310792357
34	0.3292541446
35	0.3274654297
36	0.3256431328
37	0.3238612472
38	0.3220656611
39	0.3201561438
40	0.3184434333
41	0.3167224452
42	0.3150272567
43	0.3132621508
44	0.3115235729
45	0.3097498462
46	0.3082649924
47	0.3067054998
48	0.3051146968
49	0.303494701
50	0.3018514096
51	0.3004153864
52	0.2990615273
53	0.2975591234
54	0.2958906216
55	0.2943655043
56	0.29291308
57	0.2914694796
58	0.2899860524
59	0.2883294066
60	0.2867898088
61	0.2854073446
62	0.2839404831
63	0.2825132343
64	0.281108611
65	0.2798545869
66	0.2784331696
67	0.2770950529
68	0.2758039121
69	0.2745461269
70	0.2732829209
71	0.2719021975
72	0.2705869819
73	0.2692845341
74	0.2680270608
75	0.2666732642
76	0.2653955245
77	0.2641396988
78	0.2630019242
79	0.2618929526
80	0.260692457
81	0.2595459085
82	0.2583769311
83	0.2572356802
84	0.2560189153
85	0.254881868
86	0.25373338
87	0.2526403629
88	0.2514384417
89	0.2504419485
90	0.2492195983
91	0.2480889766
92	0.2470598465
93	0.2459091189
94	0.2448222213
95	0.2436864733
96	0.2426885378
97	0.2415617058
98	0.2405714968
99	0.2395617238
100	0.2385679029
101	0.237571658
102	0.2364701457
103	0.2355728624
104	0.2346065794
105	0.233582968
106	0.2326206432
107	0.2317104752
108	0.2310497748
109	0.2300367981
110	0.2291123472
111	0.2281971078
112	0.2272898062
113	0.2263636728
114	0.2255449052
115	0.2246618673
116	0.2237762038
117	0.2229127221
118	0.2219516959
119	0.221210205
120	0.2204740151
121	0.2195980365
122	0.2187239161
123	0.2179061724
124	0.2170369799
125	0.2163400866
126	0.2156176968
127	0.2147831289
128	0.2141649214
129	0.2133886625
130	0.2126520915
131	0.2118680413
132	0.2111165433
133	0.2103764565
134	0.2096436338
135	0.2088878826
136	0.2081347681
137	0.2073758787
138	0.2066584815
139	0.2059400265
140	0.2052680067
141	0.2046092061
142	0.2038759727
143	0.2031967269
144	0.2025806902
145	0.2019547133
146	0.2013442599
147	0.2006604565
148	0.1999991043
149	0.1993313092
150	0.1986103935
151	0.1979867775
152	0.197420995
153	0.1968517983
154	0.1961879999
155	0.1956337937
156	0.1950263261
157	0.1943125261
158	0.1936518363
159	0.193058194
160	0.1925484874
161	0.1919028839
162	0.1913434513
163	0.1906966178
164	0.190134883
165	0.1894937035
166	0.1888465542
167	0.1882121547
168	0.1875530098
169	0.1870478149
170	0.1865342437
171	0.1859738847
172	0.1854541348
173	0.1848948134
174	0.1843441488
175	0.1838158254
176	0.1832884454
177	0.1827762104
178	0.1822334642
179	0.1817643202
180	0.1812818132
181	0.1807384265
182	0.1802684775
183	0.1798489957
184	0.1793872631
185	0.1789356667
186	0.1784562821
187	0.1779766439
188	0.1775400078
189	0.1770456526
190	0.1765734218
191	0.1761115328
192	0.1756835854
193	0.1751723222
194	0.1747517798
195	0.1742392642
196	0.1737863422
197	0.1733523511
198	0.1729593595
199	0.172498337
200	0.1720237146
201	0.1715542174
202	0.1710906253
203	0.1706803952
204	0.1702376114
205	0.1698483168
206	0.1693958864
207	0.16902089
208	0.1686316094
209	0.1681555346
210	0.1677346135
211	0.1673311016
212	0.166936543
213	0.1664930167
214	0.1661034861
215	0.1657862294
216	0.1653917191
217	0.1650176776
218	0.1646398886
219	0.1642890227
220	0.1639094371
221	0.1636194391
222	0.1632569859
223	0.1629248161
224	0.1626037275
225	0.1622905924
226	0.1618820642
227	0.1615079158
228	0.1611842607
229	0.160787239
230	0.1604113257
231	0.1600487543
232	0.1596908261
233	0.1593246754
234	0.1589919927
235	0.1586293182
236	0.1583225841
237	0.158011219
238	0.1577025085
239	0.1574346668
240	0.1571524245
241	0.1568120752
242	0.1565184851
243	0.1562642923
244	0.1558819221
245	0.1555620679
246	0.1552905978
247	0.1550046792
248	0.1547024383
249	0.1543947769
250	0.1540916081
251	0.1538211896
252	0.1535154243
253	0.1532508286
254	0.1530136765
255	0.1527168154
256	0.1523984397
257	0.1521244129
258	0.1518982927
259	0.1516461926
260	0.1513611356
261	0.1510568166
262	0.1507887094
263	0.1504518618
264	0.150213186
265	0.1499906644
266	0.1497404014
267	0.14950047
268	0.1491690086
269	0.1489105214
270	0.1486351729
271	0.148417335
272	0.1481234795
273	0.1478876442
274	0.1476152116
275	0.1473363604
276	0.1470531427
277	0.1468574146
278	0.14661458
279	0.1464160459
280	0.1462175773
281	0.1460295585
282	0.145799353
283	0.1455754944
284	0.1453740956
285	0.145122917
286	0.1448883333
287	0.1446513889
288	0.144478235
289	0.1442293868
290	0.143969119
291	0.143697962
292	0.1434541673
293	0.1432269398
294	0.1430099198
295	0.1428001526
296	0.1426047688
297	0.1424232727
298	0.1422233529
299	0.1420635052
300	0.141836026
301	0.1416228267
302	0.1413890724
303	0.1411981816
304	0.1410030696
305	0.1407988859
306	0.1406346747
307	0.140467863
308	0.1402923378
309	0.1401666794
310	0.1399559133
311	0.1397743609
312	0.1395220705
313	0.1393100775
314	0.1390765651
315	0.1389097271
316	0.1387018742
317	0.138534106
318	0.1383692027
319	0.1382024275
320	0.1380112953
321	0.1377933973
322	0.137623807
323	0.1374643473
324	0.1372834256
325	0.1370813469
326	0.1368271303
327	0.1366275031
328	0.1364316805
329	0.1362810821
330	0.1361218956
331	0.1359226283
332	0.1357813549
333	0.1356112151
334	0.1354610987
335	0.1352515706
336	0.1350315905
337	0.1348345234
338	0.1346964737
339	0.134498062
340	0.1343376833
341	0.1341757433
342	0.1340192641
343	0.1338691225
344	0.1337359555
345	0.1336033396
346	0.1334646854
347	0.1333359145
348	0.1331685645
349	0.1330252601
350	0.1328474932
351	0.1326618781
352	0.1324718633
353	0.1323609931
354	0.1322322804
355	0.1321014456
356	0.1319597377
357	0.1318380402
358	0.1316802
359	0.1315231453
360	0.1314013435
361	0.1312441219
362	0.1310803342
363	0.1309450865
364	0.1308116011
365	0.1306756075
366	0.1305080563
367	0.1303915577
368	0.1302563345
369	0.1301313394
370	0.1300130917
371	0.1298458628
372	0.1297364431
373	0.129617185
374	0.1295072772
375	0.1293829052
376	0.1292730061
377	0.1291176156
378	0.1290363407
379	0.1289111233
380	0.128781449
381	0.1286847113
382	0.1285542318
383	0.128409635
384	0.1282673288
385	0.1281790809
386	0.1280746779
387	0.1279502077
388	0.1278183298
389	0.1277047727
390	0.1275731966
391	0.1274302597
392	0.1272909557
393	0.1271593803
394	0.1270425777
395	0.1269595745
396	0.1268140077
397	0.1267166308
398	0.1265704732
399	0.1264382483
400	0.1263100546
401	0.1261704177
402	0.1260434051
403	0.1259277171
404	0.1258157585
405	0.1257264127
406	0.1256049927
407	0.1254945853
408	0.1254002187
409	0.1252625948
410	0.1251304782
411	0.1250283073
412	0.1249188966
413	0.1247865452
414	0.1247088896
415	0.1245865702
416	0.1244793427
417	0.1244136232
418	0.1243253008
419	0.1242131995
420	0.1241203759
421	0.1239925831
422	0.1238548917
423	0.123706815
424	0.1235801702
425	0.1234532808
426	0.1233407354
427	0.1232376539
428	0.1231807533
429	0.1230752477
430	0.1229418868
431	0.1228571651
432	0.1227624413
433	0.1226697627
434	0.122574247
435	0.1224637311
436	0.1223098939
437	0.1222307785
438	0.122100302
439	0.122036031
440	0.121953928
441	0.121847101
442	0.1217915249
443	0.1216848213
444	0.1215659583
445	0.1214832295
446	0.1213949044
447	0.1212784128
448	0.121163504
449	0.1210734291
450	0.120982568
451	0.1209121045
452	0.1208378287
453	0.1207566149
454	0.1206528166
455	0.1205795749
456	0.1204655329
457	0.120371893
458	0.1203392545
459	0.1202402164
460	0.1201610186
461	0.1200785281
462	0.1199737616
463	0.1198819096
464	0.1198185568
465	0.1197336555
466	0.1196141874
467	0.1195015567
468	0.1194223167
469	0.1193256119
470	0.119217682
471	0.1191259279
472	0.1190329969
473	0.1189120453
474	0.1188356674
475	0.1186946408
476	0.1186077997
477	0.1185263043
478	0.1184105667
479	0.1183466204
480	0.1182777324
481	0.1181907249
482	0.1181053838
483	0.1180070811
484	0.1179256412
485	0.1178321293
486	0.1177501161
487	0.1176475768
488	0.1175600273
489	0.11745575
490	0.1174339823
491	0.1173364724
492	0.1172726775
493	0.1171484198
494	0.1170377798
495	0.1169604246
496	0.1168993107
497	0.1168451489
498	0.1167276708
499	0.1166681364
500	0.1166026297
501	0.1165567226
502	0.1164382505
503	0.1163739201
504	0.1163020786
505	0.1162494298
506	0.1161344294
507	0.1160309308
508	0.1159635313
509	0.115864642
510	0.1157455141
511	0.1156437838
512	0.1155722328
513	0.1154766462
514	0.1153981862
515	0.1153109154
516	0.115241252
517	0.1151691003
518	0.1151069655
519	0.1150367846
520	0.1149284778
521	0.1148648939
522	0.1147868572
523	0.1147124072
524	0.1146241489
525	0.1145869469
526	0.114506952
527	0.1144492615
528	0.1143915096
529	0.1143099487
530	0.1142459465
531	0.1141717959
532	0.1140940928
533	0.1140393112
534	0.1140271196
535	0.1139647109
536	0.1139177129
537	0.1138880037
538	0.1138160137
539	0.113741912
540	0.1136527504
541	0.1135687911
542	0.1134739515
543	0.1134114952
544	0.1133528382
545	0.1132804767
546	0.1131977207
547	0.1131445302
548	0.1130845728
549	0.1130594876
550	0.1129895655
551	0.1129242674
552	0.1128393598
553	0.1127945694
554	0.1127206042
555	0.1126640576
556	0.1125953425
557	0.1125104122
558	0.1124360629
559	0.1123962062
560	0.112315388
561	0.1123029979
562	0.1122444266
563	0.1121688291
564	0.1120892471
565	0.1120378955
566	0.1119797366
567	0.1119255663
568	0.1119060516
569	0.1118491856
570	0.1117561339
571	0.1117561224
572	0.1117000825
573	0.1116633389
574	0.1115943304
575	0.1115500555
576	0.1114819392
577	0.1114112818
