iter	Passed	Remaining
0	4	18841
1	11	22153
2	16	21623
3	21	21192
4	26	21495
5	31	21180
6	36	20926
7	42	21005
8	47	20938
9	51	20472
10	56	20406
11	61	20373
12	67	20777
13	73	20823
14	78	20954
15	84	20942
16	89	21074
17	96	21315
18	102	21451
19	107	21336
20	112	21271
21	117	21247
22	122	21241
23	127	21188
24	134	21371
25	140	21457
26	144	21249
27	149	21175
28	156	21363
29	161	21424
30	167	21410
31	172	21439
32	178	21469
33	183	21446
34	189	21470
35	194	21410
36	199	21348
37	203	21264
38	208	21223
39	214	21235
40	220	21293
41	226	21338
42	232	21355
43	237	21372
44	243	21440
45	249	21429
46	254	21423
47	260	21425
48	265	21436
49	270	21373
50	277	21489
51	280	21323
52	285	21293
53	291	21281
54	296	21251
55	302	21283
56	307	21299
57	313	21285
58	319	21318
59	324	21335
60	330	21315
61	334	21274
62	340	21291
63	345	21264
64	350	21241
65	356	21241
66	362	21294
67	368	21330
68	374	21332
69	378	21268
70	384	21260
71	389	21248
72	394	21204
73	399	21187
74	405	21203
75	410	21171
76	414	21131
77	421	21219
78	427	21208
79	432	21174
80	436	21111
81	441	21074
82	447	21114
83	452	21085
84	457	21075
85	463	21098
86	468	21083
87	474	21097
88	480	21114
89	486	21139
90	491	21125
91	496	21096
92	502	21090
93	506	21032
94	511	21024
95	516	21009
96	522	21023
97	527	21012
98	532	20994
99	538	20983
100	542	20952
101	547	20912
102	552	20903
103	557	20900
104	563	20890
105	568	20891
106	574	20905
107	580	20935
108	583	20841
109	589	20841
110	594	20826
111	600	20851
112	607	20885
113	612	20864
114	616	20840
115	621	20808
116	626	20800
117	632	20819
118	637	20789
119	642	20758
120	647	20742
121	651	20714
122	657	20710
123	662	20706
124	667	20702
125	673	20707
126	678	20683
127	682	20653
128	685	20578
129	691	20582
130	696	20579
131	702	20585
132	707	20573
133	713	20584
134	719	20590
135	724	20574
136	729	20567
137	734	20558
138	740	20561
139	746	20581
140	752	20587
141	757	20579
142	764	20629
143	769	20607
144	776	20645
145	780	20602
146	787	20638
147	792	20620
148	798	20640
149	804	20642
150	809	20625
151	814	20618
152	820	20625
153	825	20604
