iter	Passed	Remaining
0	6	13027
1	11	11518
2	18	12212
3	23	11965
4	29	11774
5	34	11565
6	40	11406
7	45	11292
8	52	11559
9	58	11588
10	63	11515
11	70	11598
12	76	11622
13	80	11478
14	86	11454
15	91	11396
16	97	11406
17	102	11248
18	108	11303
19	113	11274
20	119	11224
21	125	11241
22	130	11210
23	137	11337
24	143	11321
25	149	11324
26	155	11327
27	160	11293
28	164	11197
29	171	11242
30	177	11269
31	183	11255
32	188	11227
33	194	11232
34	199	11214
35	204	11166
36	209	11118
37	214	11058
38	219	11014
39	224	11015
40	230	11023
41	236	11009
42	242	11030
43	247	11017
44	253	11002
45	258	10977
46	263	10938
47	270	10980
48	276	10998
49	282	11012
50	289	11048
51	294	11019
52	301	11058
53	306	11045
54	311	11024
55	317	11021
56	322	11000
57	327	10968
58	332	10950
59	340	10994
60	347	11054
61	353	11050
62	358	11033
63	364	11014
64	370	11023
65	375	10995
66	380	10966
67	385	10958
68	390	10940
69	396	10930
70	401	10914
71	406	10892
72	413	10914
73	418	10901
74	425	10913
75	431	10925
76	436	10910
77	443	10918
78	449	10934
79	455	10942
80	461	10927
81	466	10912
82	472	10910
83	477	10892
84	482	10880
85	489	10885
86	494	10863
87	499	10846
88	505	10850
89	512	10867
90	517	10865
91	523	10855
92	529	10858
93	534	10837
94	540	10837
95	543	10780
96	548	10763
97	554	10757
98	559	10745
99	565	10747
100	573	10784
101	579	10783
102	585	10788
103	591	10788
104	597	10779
105	602	10766
106	607	10750
107	616	10806
108	622	10799
109	628	10796
110	634	10799
111	643	10841
112	661	11043
113	666	11027
114	683	11206
115	699	11359
116	705	11349
117	709	11311
118	715	11306
119	721	11302
120	726	11285
121	733	11296
122	739	11286
123	745	11281
124	751	11266
125	756	11244
126	762	11250
127	768	11235
128	773	11225
129	780	11232
130	786	11223
131	793	11230
132	799	11217
133	804	11200
134	811	11205
135	817	11204
136	822	11188
137	828	11182
138	835	11186
139	841	11180
140	847	11170
141	853	11172
142	859	11161
143	866	11163
144	871	11147
145	877	11143
146	884	11154
147	891	11161
148	898	11157
149	904	11159
150	910	11147
151	917	11158
152	923	11143
153	929	11140
154	935	11132
155	942	11135
156	947	11122
157	953	11113
158	959	11108
159	964	11090
160	969	11074
161	975	11062
162	981	11062
163	987	11057
164	994	11059
165	1000	11052
166	1005	11039
167	1011	11027
168	1018	11032
169	1024	11023
170	1031	11028
171	1036	11014
172	1042	11014
173	1049	11009
174	1055	11005
175	1061	10996
176	1066	10983
177	1072	10976
178	1078	10975
179	1084	10965
180	1090	10956
181	1095	10946
182	1102	10943
183	1107	10927
184	1113	10920
185	1119	10917
186	1126	10918
187	1132	10917
188	1138	10905
189	1143	10896
190	1148	10880
191	1154	10874
192	1160	10863
193	1166	10856
194	1172	10849
195	1177	10838
196	1183	10834
197	1190	10831
198	1195	10820
199	1201	10809
200	1208	10816
201	1215	10817
202	1220	10804
203	1227	10802
204	1232	10787
205	1237	10778
206	1243	10770
207	1248	10760
208	1255	10759
209	1261	10756
210	1268	10755
211	1275	10754
212	1281	10752
213	1286	10739
214	1292	10732
215	1298	10721
216	1303	10708
217	1309	10700
218	1315	10697
